network,AD
Bendiksby_2011,28.88
Koenen_2020,24.46
Brysting_2007,28.73
Lawrence_2016,37.76
Diaz-Perez_2018,35.44
Wisecaver_2023,13.82
Ding_2023,27.63
Liang_2019,27.73
Popp_2005,16.31
Wu_2015,17.05
Liu_2023,35.53
Ren_2024,25.53
Marcussen_2011,28.81
Marcussen_2012,30.95
Sessa_2012b,40.11
Zhao_2021,18.74
Hori_2014,28.8
Marcussen_2015,36.88
Shahrestani_2015,6.92
Soza_2014,38.66
,
MEAN,27.44
STD,9.06
