network,grampa,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,5.0000 ± 0.0000 (5),0.0000 ± 0.0000 (4),0.0000 ± 0.0000 (4),0.0000 ± 0.0000 (4)
Brysting_2007,17.0000 ± 0.0000 (5),1.0000 ± 0.0000 (5),0.6000 ± 0.5477 (5),1.6000 ± 0.8944 (5)
Diaz-Perez_2018,8.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ding_2023,0.4000 ± 0.5477 (5),3.8000 ± 0.8367 (5),2.0000 ± 0.0000 (5),0.4000 ± 0.8944 (5)
Hori_2014,6.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Koenen_2020,0.0000 ± 0.0000 (5),0.2000 ± 0.4472 (5),0.6000 ± 0.8944 (5),0.2000 ± 0.4472 (5)
Lawrence_2016,3.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Liang_2019,24.0000 ± 0.0000 (5),0.2000 ± 0.4472 (5),0.2000 ± 0.4472 (5),0.6000 ± 0.5477 (5)
Liu_2023,5.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.4000 ± 0.5477 (5)
Marcussen_2011,4.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Marcussen_2012,9.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,13.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Popp_2005,0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ren_2024,2.0000 ± 0.0000 (5),3.0000 ± 0.0000 (5),2.4000 ± 1.3416 (5),0.0000 ± 0.0000 (5)
Sessa_2012b,15.4000 ± 0.5477 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Shahrestani_2015,1.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Soza_2014,24.6000 ± 0.5477 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,7.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Zhao_2021,0.0000 ± 0.0000 (5),1.6000 ± 1.8166 (5),1.0000 ± 0.8165 (4),1.0000 ± 1.4142 (4)
